Adjusted Gross Income Class,Number of Returns,,Federal AGI (Thousands),California Adjustments (Thousands),California AGI (Thousands),California Deductions (Thousands),Taxable Income (Thousands),Total Tax Liability (Thousands),Wages and Salaries,,Taxable Interest,,Taxable Dividends,,Taxable Pensions and Annuities,,Business Income,,,,Net Sale of Capital Assets,,,,Rents and Royalties,,,,Partnerships and S-Corp Gain,,Partnerships and S-Corp Loss,,Estates and Trusts Gain,,Estates and Trusts Loss,,Farm Income,,,,All Other Federal Income Sources Profit,,All Other Federal Income Sources Loss,,Total Income,,Individual Retirement Plan,,Student Loan Interest,,Tuition & Fees,,Moving Expense,,Half Self-Employment Tax,,Self-Employed Health Insurance,,Self-Employed Retirement Plan,,Penalty on Early Withdrawal of Savings,,Alimony Paid,,Domestic Production,,Total Adjustments,,Total California Subtractions,,Total California Additions,,Medical Expenses,,State and Local Income Taxes,,Real Estate Taxes,,Personal Property Taxes,,Other Taxes,,Total Taxes,,Mortgage Interest,,Points and Investment Interest,,Total Interest,,Cash/Check Contributions,,Non-Cash Contributions,,Contribution Carryover,,Total Contributions,,Casualty and Theft Losses,,All Other Deductions,,Total Federal Itemized Deductions,,California Adjusted to Fed Itemized Deductions,,California Itemized Deductions,,California Standard Deductions,,Personal Exemption Credit,Personal Exemption Credit,Dependent Exemption Credit,Dependent Exemption Credit,Senior/Blind Exemption Credit,Senior/Blind Exemption Credit,Total Exemption Credit,,Other State Tax Credit,,Total Special Credit,,Renter's Credit,,G-1 Tax/5870A Tax,,Alternative Minimum Tax,,Mental Health Tax,,Other Taxes,,Taxes Witheld,,Estimated Taxes Paid,,Excess State Disability Insurance (SDI),,Nonrefundable Child and Dependent Credit,,Overpayment,,Credit to Next Year's Tax,,Total Voluntary Contributions,,Refund,,Tax Due,
,,,,,,,,,,,,,,,,,Profit,,Loss,,Profit,,Loss,,Profit,,Loss,,,,,,,,,,Profit,,Loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All,Taxable,,,,,,,Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands),Number,Amount (Thousands)
Negative,"165,235","2,761","-28,139,823","-98,623","-28,244,303","2,872,379",,"12,010","44,613","1,972,860","82,690","822,873","47,043","640,978","23,605","380,584","26,570","463,208","53,914","-1,774,661","19,552","2,192,789","49,684","-125,716","15,977","376,226","28,666","-1,006,832","19,618","2,404,717","38,321","8,979,583","1,690","96,750",737,"198,931",973,"32,360","4,989","-568,572","34,012","1,047,562","73,801","25,472,949","163,321","-27,704,542","1,353","7,603","10,724","12,244","2,823","9,140",222,578,"24,445","31,953","12,352","74,585",552,"17,673",825,"12,436","1,648","50,677",,,"42,224","260,910","92,483","29,093,439","83,043","28,996,331","24,714","407,820","30,266","376,226","30,382","372,998","15,247","9,893","1,743","1,925","34,910","761,042","27,617","555,910","9,393","214,859","29,023","770,767","4,802","31,244","2,257","5,746","1,383","15,969","5,308","52,949",a,"1,031","35,203","271,036","35,602","1,543,009",179,673,"68,412","2,336,943","96,697","535,436","211,048","25,748","44,552","16,840","85,764",30,"157,939","52,842",,,,,,,,,939,"11,110",,,"1,830",900,"38,623","87,086","10,134","154,081",501,195,,,"54,613","265,370","6,107","85,729",,,,,,
Zero,"36,737",,"511,178","-509,630",,"309,349",,,"10,581","359,109","2,277","8,362",277,196,"1,441","32,921",679,"1,715",,,,,111,-333,,,112,"-1,977",111,"-3,586",,,111,38,,,,,,,"11,557","223,071","3,042","104,524","22,066","525,231",,,,,"1,833","5,314",,,567,120,568,"1,581",,,,,a,259,,,"2,489","7,430","19,135","567,495","2,597","57,864",503,"77,098",702,"1,773",567,"4,014",168,49,111,122,"1,048","5,959",789,"10,680",,,790,"10,682",147,"1,207",55,38,,,201,"1,245",,,"1,637","1,224","1,162","94,975",,,"2,713","120,931","34,024","188,418","40,778","4,975","11,427","4,320","9,683",,"34,671","10,449",,,,,,,,,,,,,,,"7,794","8,957",223,345,,,,,"10,241","11,278",222,343,,,,,,
1  to  999,"166,110",667,"249,306","-182,742","66,564","928,077",,3,"59,387","287,477","54,923","9,771","14,739","7,427","7,958","30,025","45,232","44,553","1,920","-7,948","6,062","7,091","5,362","-8,313","2,426","7,282","2,060","-17,945","1,516","16,523","1,741","26,415",56,369,,,111,"1,121",122,"-1,117","21,169","132,626","7,248","178,955","165,554","303,798",833,"3,094","2,177","2,689","2,678","6,779",,,"21,856","2,960","2,892","7,379",,,223,12,,,,,"26,046","22,982","15,519","301,784","8,689","119,042","2,918","23,174","4,314","11,488","4,262","27,883","2,084","1,732",a,11,"5,320","41,115","4,262","62,892",404,597,"4,262","63,489","1,662","1,740",913,726,222,482,"2,338","2,949",,,"7,054","20,574","5,320","133,326",a,-56,"18,300","265,882","147,699","662,195","151,716","18,509","21,598","8,164","48,862",54,"131,818","32,611",,,,,,,,,,,,,667,3,"21,312","6,965",944,297,,,,,"72,286","15,134",667,213,,,,,,
"1,000  to  1,999","143,543","5,595","252,525","-36,055","216,470","732,143","2,312",32,"91,386","228,168","21,694","12,358","11,834","12,407","9,394","21,606","30,807","57,044","3,509","-15,373","6,497","14,350","5,619","-10,397","2,856","6,290","1,993","-23,714","1,757","45,948","1,585","55,760",164,"2,422",,,a,3,224,"-1,913","16,694","110,000","3,991","110,549","143,543","292,892",334,"1,496","2,891","2,474","2,001","6,583",,,"29,597","5,827","2,448","7,656",111,220,277,16,122,398,,,"34,264","26,006","10,369","157,062","8,874","121,007","1,804","49,384","2,427","46,290","1,659","13,892",618,224,122,67,"2,673","60,473","1,662","24,041",233,"1,575","1,669","25,616",598,"1,014",785,528,a,28,"1,154","1,570",,,"6,356","18,552","2,895","89,985",,,"13,142","180,258","130,401","551,885","108,185","13,199","20,326","7,683","27,402",27,"95,814","24,215",111,,333,1,222,,,,5,4,,,477,5,"44,936","3,641","1,060","2,730",,,,,"84,186","19,402",335,757,,,,,,
"2,000  to  2,999","167,758","6,501","485,755","-65,237","420,518","823,440","6,030",192,"113,562","335,925","22,788","18,304","14,084","20,116","10,366","40,071","37,141","106,475","3,067","-6,792","8,459","13,825","5,703","-12,085","2,910","6,507","1,745","-22,306","1,682","6,018","1,523","18,844",111,200,,,111,23,111,"-2,387","16,338","84,704","2,411","54,151","167,646","515,603",446,"1,356","2,611","2,621","2,166","6,085",,,"36,243","7,897","2,139","5,570",a,21,333,15,111,"1,734",,,"40,408","28,579","9,533","131,491","6,758","66,254","1,746","14,721","2,101","3,828","1,669","9,202","1,610",788,112,24,"2,336","13,840","1,224","13,651",166,9,"1,335","13,659","1,201","1,377",610,287,222,275,"1,421","1,940",,,"4,828","4,629","2,336","41,576",111,256,"9,916","123,483","157,842","699,956","124,733","15,217","23,035","8,707","25,857",14,"111,036","27,067",,,445,5,333,4,,,,,,,"1,722",104,"66,101","4,132","1,001",740,32,1,,,"107,686","27,282",446,210,,,,,,
"3,000  to  3,999","181,012","6,559","685,706","-55,239","630,467","991,372","10,388",382,"128,302","504,830","25,032","17,699","16,020","35,684","10,796","45,322","36,821","126,165","2,782","-14,932","7,293","15,371","6,733","-14,424","3,013","8,965","1,510","-14,635","1,451","16,075","1,172","20,013",a,172,,,,,111,"-1,378","15,771","85,082","3,663","74,335","180,790","715,648",111,178,"2,945","2,838","2,112","5,837",,,"35,821","9,338","1,857","5,393",,,445,16,222,"1,128",,,"40,322","25,555","11,757","135,382","8,087","80,143","2,460","38,540","3,330","12,814","2,500","13,988","1,594","1,188",111,131,"3,723","28,121","2,164","32,023",447,315,"2,387","32,339","1,314","1,874",502,773,166,364,"1,314","3,011",,,"7,587","11,906","3,834","92,062",,,"14,731","195,464","166,281","795,908","138,387","16,883","29,739","11,241","24,877",27,"125,205","31,155",111,1,445,78,111,,,,a,25,,,"1,334",30,"82,841","5,130","1,947","2,017",a,1,,,"129,652","41,741","1,113",892,,,,,,
"4,000  to  4,999","186,889","26,577","894,882","-52,851","842,032","1,086,773","25,807",400,"134,992","655,878","25,087","15,441","12,632","23,433","14,110","60,130","39,777","183,963","2,590","-17,455","6,930","44,332","5,212","-10,209","2,727","7,718","1,773","-25,621","1,735","22,984","1,472","28,949",a,6,,,,,222,"-6,896","18,772","99,128","3,565","90,144","186,778","933,741",222,800,"3,333","2,978","2,557","8,210",,,"38,274","13,121","2,905","12,177",,,557,13,,,,,"43,000","39,344","15,319","157,522","7,771","104,672","2,552","54,109","3,576","3,627","2,753","17,306","1,493",502,124,120,"3,812","21,554","2,395","28,692",293,70,"2,564","28,762","1,502","3,248",836,453,221,"1,496","1,948","5,197",,,"6,656","11,166","4,034","106,583",,,"13,121","203,191","173,768","883,582","141,823","17,302","34,888","13,188","30,779",27,"127,193","34,240",,,"2,001",13,"2,001",13,,,,,,,"1,456",32,"93,947","6,803",905,558,,,,,"136,779","49,713",236,167,,,,,,
"5,000  to  5,999","194,449","51,695","1,128,735","-59,935","1,068,801","1,119,343","162,870",967,"140,329","834,784","25,478","15,711","12,599","22,412","14,306","74,962","41,666","214,324","3,056","-23,521","7,961","17,901","3,865","-9,085","3,405","19,538","1,901","-12,501","1,072","9,140","1,228","32,927",445,"1,266",,,,,222,"-3,191","25,032","146,668","3,262","86,884","194,227","1,188,581",667,"1,727","3,668","2,493","2,779","7,101",,,"41,454","15,578","1,781","5,456",a,31,672,"1,134",333,"5,453",,,"48,018","41,980","16,478","132,913","7,767","72,978","2,919","35,268","4,298","10,910","3,421","17,230","1,960",983,456,184,"4,535","29,307","3,088","39,255",403,128,"3,200","39,383","2,615","3,672","1,057",733,223,215,"2,948","4,621",,,"8,200","7,469","4,535","100,458",,,"13,383","189,891","181,066","929,452","155,914","19,022","39,722","15,015","33,228",27,"140,525","38,082",667,4,"4,668",52,"3,890",44,,,a,6,,,"2,445",93,"105,923","8,378","2,060","2,117",,,,,"142,354","57,706",390,305,,,,,,
